Date	RELIANCE IS Equity	TCS IS Equity	BHARTI IS Equity	INFO IS Equity	HUVR IS Equity	ITC IS Equity	LT IS Equity	HDFCB IS Equity	ICICIBC IS Equity	KMB IS Equity	BAF IS Equity	SUNP IS Equity	TTAN IS Equity	SBIN IS Equity	MSIL IS Equity	MM IS Equity	AXSB IS Equity	HCLT IS Equity	UTCEM IS Equity	WPRO IS Equity	TATA IS Equity	APNT IS Equity	INDIGO IS Equity	COAL IS Equity	JSTL IS Equity	SBILIFE IS Equity	BJAUT IS Equity	DRRD IS Equity	ADSEZ IS Equity	GRASIM IS Equity	TMPV IS Equity	NIFTY Index
44283	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44284	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44285	924.3725309	3158.55	511.8892765	1385.3	2361.533394	202.9670892	1423.55	776.85	591.45	356.25	519.355	597.7	1552.2	360.8	6851.8	795	695.35	995.8	6785.6	209.05	80	2578.05	1585.4	132.95	467.45	872.15	3666.7	903.64	710.55	1416.966504	179.8260497	14845.1
44286	912.4380903	3177.85	507.7666783	1368.05	2393.775278	206.7038405	1418.9	746.825	582.1	350.6	514.985	597.8	1558.05	364.3	6859.2	795.25	697.45	982.65	6737.95	207.075	81.185	2537.4	1631.95	130.35	468.45	880.85	3670.6	903.2	702.4	1444.805822	182.7015714	14690.7
44287	920.9789591	3165	511.2021768	1385.2	2361.877964	208.1701607	1444.6	743.375	594.4	360.91	527.215	610.75	1559.35	370.65	6923.9	807.6	713	1002.6	6898.85	208.2	86.305	2551.75	1616.6	132.15	508.75	883.45	3743.05	917.53	736.25	1448.74018	186.3035408	14867.35
44288	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44289	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44290	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44291	907.6552038	3238.9	518.5148808	1409.9	2336.379802	201.0750632	1403.8	724.8	571.25	351.84	496.25	608.8	1535	353.55	6768.55	774.45	685.25	1033.5	6795.8	212.725	86.775	2510.65	1552.7	129.8	517.5	872.55	3598.5	911.32	742.25	1440.77186	184.6690337	14637.8
44292	903.8744459	3264.7	522.3920862	1411.05	2370.935226	201.1696645	1401	720.125	565.9	353.66	499.31	620.45	1525.5	350.55	6751.3	781.1	677.9	1028.4	6736.65	213.575	86.285	2611.6	1577.6	130.3	537.45	897.55	3615.5	923.85	835.55	1426.877102	186.3035408	14683.5
44293	912.3242121	3271.4	531.6188536	1430.2	2367.932546	202.2575794	1404.15	723.6	577.65	358.4	507.71	621.05	1514.1	358.55	6865	796.3	688.25	1037.2	6760.05	219	87.485	2628.6	1599.65	131.25	562.3	918.5	3680.2	938.53	814.75	1431.707896	186.3338094	14819.05
